OrderID,ClientOrderID,Instrument,Side,ExecStatus,Quantity,Price,Reason,Timestamp
ord1,aa13,Rose,2,100,New,55.000000,,20231216-091920.556923
ord2,aa14,Rose,2,100,New,45.000000,,20231216-091920.556993
ord3,aa15,Rose,1,100,New,35.000000,,20231216-091920.557100
ord1,aa13,Rose,2,100,New,55.000000,,20231216-091920.557118
ord2,aa14,Rose,2,100,New,45.000000,,20231216-091920.557129
ord3,aa15,Rose,1,100,Pfill,45.000000,,20231216-091920.557144
ord2,aa14,Rose,2,100,Fill,45.000000,,20231216-091920.557149
ord3,aa15,Rose,1,100,Fill,45.000000,,20231216-091920.557152
ord2,aa14,Rose,2,100,Fill,45.000000,,20231216-091920.557156
ord1,aa13,Rose,1,100,Fill,55.000000,,20231216-091920.557170
ord1,aa13,Rose,2,100,Fill,55.000000,,20231216-091920.557174
ord2,aa14,Rose,1,100,Fill,55.000000,,20231216-091920.557273
ord1,aa13,Rose,2,100,Fill,55.000000,,20231216-091920.557281
ord3,aa15,Rose,2,100,Pfill,35.000000,,20231216-091920.557294
ord3,aa15,Rose,1,100,Fill,35.000000,,20231216-091920.557298
ord1,aa13,Rose,1,100,Fill,1.000000,,20231216-091920.557308
ord3,aa15,Rose,2,100,Pfill,1.000000,,20231216-091920.557312
ord2,aa14,Rose,1,100,Fill,1.000000,,20231216-091920.557429
ord3,aa15,Rose,2,100,Fill,1.000000,,20231216-091920.557437
ord3,aa15,Rose,2,300,New,1.000000,,20231216-091920.557456
ord4,aa16,Rose,1,100,Fill,1.000000,,20231216-091920.557469
ord3,aa15,Rose,2,100,Pfill,1.000000,,20231216-091920.557472
ord1,aa13,,1,100,Rejected,55.00,Invalid instrument,20231216-091920.557487
ord2,aa14,Rose,3,100,Rejected,65.00,Invalid side,20231216-091920.557500
ord3,aa15,Lavender,2,101,Rejected,1.00,Invalid size,20231216-091920.557602
ord4,aa16,Tulip,1,100,Rejected,-1.00,Invalid price,20231216-091920.557627
ord5,aa17,Orchid,1,1000,Rejected,-1.00,Invalid price,20231216-091920.557682
ord1,aa13,Rose,2,100,New,55.000000,,20231216-091920.557742
ord2,aa14,Rose,2,100,New,45.000000,,20231216-091920.557799
ord3,aa15,Rose,1,100,Fill,1.000000,,20231216-091920.557857
ord3,aa15,Rose,2,100,Pfill,1.000000,,20231216-091920.557861
ord1,aa13,Rose,2,100,New,55.000000,,20231216-091920.557916
ord2,aa14,Rose,2,100,New,45.000000,,20231216-091920.557975
ord3,aa15,Rose,1,100,Pfill,1.000000,,20231216-091920.558032
ord3,aa15,Rose,2,100,Fill,1.000000,,20231216-091920.558037
ord3,aa15,Rose,1,100,Fill,45.000000,,20231216-091920.558041
ord2,aa14,Rose,2,100,Fill,45.000000,,20231216-091920.558044
ord1,aa13,Rose,1,100,Fill,45.000000,,20231216-091920.558118
ord2,aa14,Rose,2,100,Fill,45.000000,,20231216-091920.558124
ord2,aa14,Rose,1,100,Fill,55.000000,,20231216-091920.558158
ord1,aa13,Rose,2,100,Fill,55.000000,,20231216-091920.558163
ord3,aa15,Rose,2,300,New,1.000000,,20231216-091920.558216
ord1,aa13,Rose,1,100,Fill,1.000000,,20231216-091920.558273
ord3,aa15,Rose,2,100,Pfill,1.000000,,20231216-091920.558278
ord2,aa14,Rose,1,100,Fill,1.000000,,20231216-091920.558335
ord3,aa15,Rose,2,100,Pfill,1.000000,,20231216-091920.558340
ord3,aa15,Rose,2,300,New,1.000000,,20231216-091920.558392
ord4,aa16,Rose,1,100,Fill,1.000000,,20231216-091920.558450
ord3,aa15,Rose,2,100,Fill,1.000000,,20231216-091920.558455
ord1,aa13,,1,100,Rejected,55.00,Invalid instrument,20231216-091920.558506
ord2,aa14,Rose,3,100,Rejected,65.00,Invalid side,20231216-091920.558564
ord3,aa15,Lavender,2,101,Rejected,1.00,Invalid size,20231216-091920.558622
ord4,aa16,Tulip,1,100,Rejected,-1.00,Invalid price,20231216-091920.558680
ord5,aa17,Orchid,1,1000,Rejected,-1.00,Invalid price,20231216-091920.558738
ord1,aa13,Rose,2,100,New,55.000000,,20231216-091920.558820
ord2,aa14,Rose,2,100,New,45.000000,,20231216-091920.558871
ord3,aa15,Rose,1,100,Fill,1.000000,,20231216-091920.558928
ord3,aa15,Rose,2,100,Pfill,1.000000,,20231216-091920.558933
ord1,aa13,Rose,2,100,New,55.000000,,20231216-091920.558987
ord2,aa14,Rose,2,100,New,45.000000,,20231216-091920.559045
ord3,aa15,Rose,1,200,Fill,1.000000,,20231216-091920.559104
ord3,aa15,Rose,2,200,Fill,1.000000,,20231216-091920.559109
ord1,aa13,Rose,1,100,Fill,45.000000,,20231216-091920.559162
ord2,aa14,Rose,2,100,Fill,45.000000,,20231216-091920.559167
ord2,aa14,Rose,1,100,Fill,45.000000,,20231216-091920.559220
ord2,aa14,Rose,2,100,Fill,45.000000,,20231216-091920.559225
ord3,aa15,Rose,2,300,New,1.000000,,20231216-091920.559278
ord1,aa13,Rose,1,100,Fill,1.000000,,20231216-091920.559336
ord3,aa15,Rose,2,100,Pfill,1.000000,,20231216-091920.559341
ord2,aa14,Rose,1,100,Fill,1.000000,,20231216-091920.559394
ord3,aa15,Rose,2,100,Pfill,1.000000,,20231216-091920.559399
